appid,genres
10,Action
20,Action
30,Action
40,Action
50,Action
60,Action
70,Action
80,Action
130,Action
220,Action
240,Action
300,Action
320,Action
360,Action
400,Action
440,Action
440,Free To Play
500,Action
550,Action
570,Action
570,Free To Play
570,Strategy
620,Action
620,Adventure
630,Action
630,Free To Play
730,Action
730,Free To Play
1002,Indie
1200,Action
1250,Action
1300,Action
1313,Action
1500,Indie
1500,Strategy
1510,Indie
1510,Strategy
1520,Indie
1520,Strategy
1530,Indie
1600,Strategy
1610,Strategy
1620,Strategy
1630,Strategy
1640,Strategy
1670,Action
1670,Simulation
1670,Strategy
1690,Strategy
1700,RPG
1900,Strategy
1930,RPG
2100,Action
2100,RPG
2200,Action
2210,Action
2270,Action
2280,Action
2310,Action
2320,Action
2400,Action
2400,Indie
2400,RPG
2420,Action
2420,Indie
2420,RPG
2450,Action
2500,Action
2520,Casual
2520,Indie
2540,Casual
2540,Indie
2590,Action
2600,Action
2610,Action
2620,Action
2630,Action
2640,Action
2700,Simulation
2700,Strategy
2710,Action
2720,Action
2720,Indie
2720,Strategy
2800,Strategy
2810,Strategy
2820,Action
2820,Simulation
2820,Strategy
2840,Simulation
2840,Strategy
2850,Simulation
2850,Strategy
2870,Action
2870,Simulation
2900,Strategy
2910,Strategy
2920,Strategy
2990,Racing
3010,Racing
3020,Action
3050,Racing
3130,Strategy
3170,RPG
3170,Strategy
3230,Strategy
3260,Adventure
3260,Casual
3270,Action
3300,Casual
3310,Casual
3320,Casual
3330,Casual
3340,Casual
3350,Casual
3360,Casual
3380,Casual
3390,Casual
3400,Casual
3410,Casual
3420,Casual
3430,Casual
3450,Casual
3460,Casual
3480,Casual
3483,Casual
3483,Free To Play
3490,Casual
3500,Casual
3510,Casual
3520,Casual
3530,Casual
3540,Casual
3560,Casual
3560,Strategy
3570,Casual
3580,Casual
3590,Strategy
3600,Casual
3610,Casual
3620,Action
3620,Casual
3700,Action
3710,Action
3720,Strategy
3730,Action
3800,Action
3810,Action
3820,Action
3830,Action
3900,Strategy
3910,Strategy
3920,RPG
3960,Strategy
3980,Strategy
3990,Strategy
4000,Casual
4000,Indie
4000,Simulation
4100,Casual
4100,Indie
4100,Strategy
4230,Racing
4290,Racing
4300,Action
4300,Indie
4420,RPG
4460,Simulation
4460,Strategy
4470,RPG
4520,Action
4520,Strategy
4530,Action
4530,Strategy
4560,Action
4560,Strategy
4570,Strategy
4700,Strategy
4770,Strategy
4800,Strategy
4850,Strategy
4870,Strategy
4880,Strategy
4890,Strategy
4900,Casual
4900,Indie
4920,Action
4920,Indie
4920,Strategy
6000,Action
6010,Adventure
6020,Action
6030,Action
6040,Adventure
6060,Action
6080,Action
6080,Adventure
6080,Racing
6080,Simulation
6080,Strategy
6100,Casual
6100,Free To Play
6100,Indie
6100,Strategy
6120,Action
6120,Indie
6200,Strategy
6210,Strategy
6220,Action
6220,Racing
6220,Simulation
6250,Action
6250,Strategy
6270,Racing
6300,Adventure
6300,RPG
6310,Action
6310,Adventure
6310,RPG
6370,Action
6370,Free To Play
6370,Massively Multiplayer
6400,Action
6400,Strategy
6420,Indie
6420,Simulation
6420,Strategy
6510,Action
6510,Adventure
6600,Casual
6600,Indie
6800,Action
6810,Action
6830,Strategy
6840,Action
6850,Action
6860,Action
6870,Action
6880,Action
6900,Action
6910,Action
6920,Action
6980,Action
7000,Action
7000,Adventure
7010,Action
7020,Action
7110,RPG
7200,Racing
7210,Adventure
7220,Adventure
7260,RPG
7340,Casual
7340,Indie
7510,Action
7510,Adventure
7510,Nudity
7510,RPG
7510,Violent
7520,RPG
7530,Strategy
7600,Strategy
7610,Strategy
7620,Strategy
7650,Strategy
7660,Strategy
7670,Action
7670,RPG
7730,Strategy
7760,Strategy
7770,Strategy
7800,Action
7830,Strategy
7840,Racing
7860,Action
7940,Action
8000,Action
8000,Adventure
8080,Action
8100,Action
8140,Action
8140,Adventure
8170,Action
8170,Strategy
8190,Action
8190,Adventure
8330,Casual
8400,Casual
8500,Action
8500,Free To Play
8500,Massively Multiplayer
8500,RPG
8500,Strategy
8600,Racing
8780,Racing
8790,Racing
8790,Simulation
8790,Sports
8800,Strategy
8850,Action
8870,Action
8880,RPG
8880,Strategy
8890,RPG
8890,Strategy
8930,Strategy
8970,Indie
9010,Action
9060,Action
9180,Action
9200,Action
9340,Action
9340,Strategy
9350,Strategy
9420,Strategy
9460,Action
9480,Action
9500,Action
9500,Adventure
9500,Indie
9710,Action
9730,Simulation
9760,Action
9800,Action
9800,Adventure
9850,Simulation
9850,Strategy
9880,Free To Play
9880,Massively Multiplayer
9880,RPG
9900,Free To Play
9900,Massively Multiplayer
9900,RPG
9940,Action
9940,Adventure
9960,Adventure
9970,Action
9980,Casual
10090,Action
10100,Adventure
10110,Adventure
10120,Action
10120,Casual
10130,Action
10140,Sports
10150,Action
10150,Adventure
10180,Action
10220,Action
10230,Adventure
10240,Adventure
10250,Simulation
10260,Simulation
10270,RPG
10270,Strategy
10460,Action
10500,Strategy
10520,Sports
10680,Action
11020,Racing
11040,Adventure
11040,RPG
11050,Adventure
11050,Casual
11130,Adventure
11140,Adventure
11150,Adventure
11180,Adventure
11180,Casual
11190,Adventure
11190,RPG
11200,Action
11230,Casual
11230,Indie
11230,Racing
11240,Action
11240,Indie
11240,Strategy
11250,Simulation
11250,Strategy
11260,Simulation
11260,Strategy
11280,Action
11280,Casual
11280,Indie
11340,Action
11340,Indie
11370,Adventure
11370,Indie
11390,Action
11390,Racing
11390,Simulation
11450,RPG
11550,Action
11610,Action
11610,Free To Play
11610,Massively Multiplayer
11610,RPG
12130,Action
12140,Action
12150,Action
12200,Action
12200,Adventure
12210,Action
12210,Adventure
12220,Action
12310,Adventure
12310,Casual
12310,RPG
12320,Action
12320,RPG
12330,Action
12360,Racing
12364,Racing
12364,Simulation
12390,Action
12420,Strategy
12430,Casual
