appid,categories
10,Color Alternatives
10,Custom Volume Controls
10,Family Sharing
10,Keyboard Only Option
10,Multi-player
10,Online PvP
10,PvP
10,Shared/Split Screen PvP
10,Stereo Sound
10,Valve Anti-Cheat enabled
20,Custom Volume Controls
20,Family Sharing
20,Keyboard Only Option
20,Multi-player
20,Online PvP
20,PvP
20,Remote Play Together
20,Shared/Split Screen PvP
20,Stereo Sound
20,Valve Anti-Cheat enabled
30,Camera Comfort
30,Color Alternatives
30,Custom Volume Controls
30,Family Sharing
30,Multi-player
30,Stereo Sound
30,Valve Anti-Cheat enabled
40,Color Alternatives
40,Custom Volume Controls
40,Family Sharing
40,Keyboard Only Option
40,Multi-player
40,Online PvP
40,PvP
40,Remote Play Together
40,Shared/Split Screen PvP
40,Stereo Sound
40,Valve Anti-Cheat enabled
50,Adjustable Difficulty
50,Custom Volume Controls
50,Family Sharing
50,Multi-player
50,Playable without Timed Input
50,Save Anytime
50,Single-player
50,Valve Anti-Cheat enabled
60,Custom Volume Controls
60,Family Sharing
60,Keyboard Only Option
60,Multi-player
60,Online PvP
60,PvP
60,Stereo Sound
60,Valve Anti-Cheat enabled
70,Adjustable Difficulty
70,Color Alternatives
70,Custom Volume Controls
70,DualSense Controller Support
70,DualShock Controller Support
70,Family Sharing
70,Full controller support
70,Keyboard Only Option
70,Multi-player
70,Online PvP
70,Playable without Timed Input
70,PvP
70,Remote Play on Phone
70,Remote Play on Tablet
70,Save Anytime
70,Single-player
70,Steam Cloud
70,Stereo Sound
70,Valve Anti-Cheat enabled
80,Adjustable Difficulty
80,Color Alternatives
80,Custom Volume Controls
80,Family Sharing
80,Multi-player
80,Single-player
80,Stereo Sound
80,Valve Anti-Cheat enabled
130,Adjustable Difficulty
130,Custom Volume Controls
130,Family Sharing
130,Playable without Timed Input
130,Save Anytime
130,Single-player
220,Adjustable Difficulty
220,Camera Comfort
220,Captions available
220,Commentary available
220,Custom Volume Controls
220,DualSense Controller Support
220,DualShock Controller Support
220,Family Sharing
220,Full controller support
220,Includes Source SDK
220,Playable without Timed Input
220,Remote Play Together
220,Remote Play on Phone
220,Remote Play on Tablet
220,Save Anytime
220,Single-player
220,Steam Achievements
220,Steam Cloud
220,Steam Input API Support
220,Steam Timeline
220,Steam Trading Cards
220,Steam Workshop
220,Stereo Sound
220,Subtitle Options
220,Surround Sound
240,Camera Comfort
240,Color Alternatives
240,Cross-Platform Multiplayer
240,Custom Volume Controls
240,Family Sharing
240,Includes Source SDK
240,Multi-player
240,Stats
240,Steam Achievements
240,Steam Cloud
240,Stereo Sound
240,Subtitle Options
240,Surround Sound
240,Valve Anti-Cheat enabled
300,Adjustable Difficulty
300,Camera Comfort
300,Color Alternatives
300,Cross-Platform Multiplayer
300,Custom Volume Controls
300,Family Sharing
300,Includes Source SDK
300,Multi-player
300,Stats
300,Steam Achievements
300,Steam Trading Cards
300,Stereo Sound
300,Surround Sound
300,Valve Anti-Cheat enabled
320,Custom Volume Controls
320,Family Sharing
320,Includes Source SDK
320,Multi-player
320,Playable without Timed Input
320,Stereo Sound
320,Surround Sound
320,Valve Anti-Cheat enabled
360,Camera Comfort
360,Custom Volume Controls
360,Family Sharing
360,Multi-player
360,Playable without Timed Input
360,Stereo Sound
360,Surround Sound
360,Valve Anti-Cheat enabled
400,Camera Comfort
400,Captions available
400,Commentary available
400,Custom Volume Controls
400,DualSense Controller Support
400,DualShock Controller Support
400,Family Sharing
400,Full controller support
400,Includes Source SDK
400,Includes level editor
400,Remote Play on Phone
400,Remote Play on Tablet
400,Save Anytime
400,Single-player
400,Steam Achievements
400,Steam Input API Support
400,Stereo Sound
400,Subtitle Options
400,Surround Sound
440,Camera Comfort
440,Captions available
440,Color Alternatives
440,Commentary available
440,Cross-Platform Multiplayer
440,Custom Volume Controls
440,In-App Purchases
440,Includes level editor
440,Multi-player
440,Partial Controller Support
440,Remote Play on Phone
440,Remote Play on Tablet
440,Stats
440,Steam Achievements
440,Steam Trading Cards
440,Steam Workshop
440,Stereo Sound
440,Surround Sound
440,Valve Anti-Cheat enabled
500,Adjustable Difficulty
500,Camera Comfort
500,Captions available
500,Co-op
500,Color Alternatives
500,Commentary available
500,Custom Volume Controls
500,DualSense Controller Support
500,DualShock Controller Support
500,Family Sharing
500,Full controller support
500,Includes Source SDK
500,Multi-player
500,Remote Play on TV
500,Single-player
500,Stats
500,Steam Achievements
500,Steam Cloud
500,Steam Leaderboards
500,Stereo Sound
500,Surround Sound
500,Valve Anti-Cheat enabled
550,Adjustable Difficulty
550,Camera Comfort
550,Captions available
550,Co-op
550,Color Alternatives
550,Commentary available
550,Custom Volume Controls
550,DualSense Controller Support
550,DualShock Controller Support
550,Family Sharing
550,Full controller support
550,Includes Source SDK
550,Multi-player
550,Online Co-op
550,Online PvP
550,Playable without Timed Input
550,PvP
550,Remote Play Together
550,Remote Play on Phone
550,Remote Play on TV
550,Remote Play on Tablet
550,Single-player
550,Stats
550,Steam Achievements
550,Steam Cloud
550,Steam Input API Support
550,Steam Timeline
550,Steam Trading Cards
550,Steam Workshop
550,Stereo Sound
550,Surround Sound
550,Valve Anti-Cheat enabled
570,Camera Comfort
570,Co-op
570,Color Alternatives
570,Custom Volume Controls
570,In-App Purchases
570,Multi-player
570,Steam Timeline
570,Steam Trading Cards
570,Steam Workshop
570,SteamVR Collectibles
570,Valve Anti-Cheat enabled
620,Camera Comfort
620,Captions available
620,Co-op
620,Commentary available
620,Custom Volume Controls
620,DualSense Controller Support
620,DualShock Controller Support
620,Family Sharing
620,Full controller support
620,Includes level editor
620,Multi-player
620,Online Co-op
620,Playable without Timed Input
620,Remote Play Together
620,Remote Play on Phone
620,Remote Play on TV
620,Remote Play on Tablet
620,Save Anytime
620,Shared/Split Screen
620,Shared/Split Screen Co-op
